2022-11-28 12:53:01, Camera 1, Tomato, 1651, 756, 84.55966796899449
2022-11-28 12:53:03, Camera 1, Tomato, 1868, 680, -37.40535663140856
2022-11-28 12:53:03, Camera 1, Tomato, 325, 769, 100.78429786756261
2022-11-28 12:53:03, Camera 1, Tomato, 1017, 767, 92.38594403038883
2022-11-28 12:53:04, Camera 1, Tomato, 1676, 760, 106.69924423399362
2022-11-28 12:53:06, Camera 1, Tomato, 1818, 769, 99.46232220802563
2022-11-28 12:53:06, Camera 1, Tomato, 1647, 770, 81.46923439005187
2022-11-28 12:53:06, Camera 1, Tomato, 1604, 771, 86.82016988013577
2022-11-28 12:53:06, Camera 1, Tomato, 1874, 775, 95.44033203100551
2022-11-28 12:53:08, Camera 1, Tomato, 1722, 758, 80.53767779197439
2022-11-28 12:53:08, Camera 1, Tomato, 1745, 771, 93.3664606634298
2022-11-28 12:53:09, Camera 1, Tomato, 1675, 761, 84.8055710922652
2022-11-28 12:53:14, Camera 1, Tomato, 1624, 763, 80.53767779197439
2022-11-28 12:53:14, Camera 1, Tomato, 1654, 773, 93.17983011986423
2022-11-28 12:53:15, Camera 1, Tomato, 1718, 804, 88.87669728592458
2022-11-28 12:53:15, Camera 1, Tomato, 1718, 1010, 118.27912655619461
2022-11-28 12:53:18, Camera 1, Tomato, 1755, 729, -63.86899945506142
2022-11-28 12:53:18, Camera 1, Tomato, 1516, 764, 135.0
2022-11-28 12:53:19, Camera 1, Tomato, 1517, 799, 71.91655461695134
2022-11-28 12:53:25, Camera 1, Tomato, 438, 760, 100.30484646876603
2022-11-28 12:53:30, Camera 1, Tomato, 1105, 777, 87.61405596961119
2022-11-28 12:53:30, Camera 1, Tomato, 307, 771, 100.78429786756261
2022-11-28 12:53:35, Camera 1, Tomato, 1466, 791, 83.01894259317021
2022-11-28 12:53:39, Camera 1, Tomato, 1874, 774, 87.27368900609373
2022-11-28 12:53:45, Camera 1, Tomato, 1782, 813, 77.56043798115346
2022-11-28 12:53:45, Camera 1, Tomato, 1682, 763, 84.8055710922652
2022-11-28 12:53:52, Camera 1, Tomato, 1876, 774, 81.86989764584403
2022-11-28 12:53:55, Camera 1, Tomato, 1421, 1014, 84.37669469794608
2022-11-28 12:53:57, Camera 1, Tomato, 1532, 761, 84.55966796899449
2022-11-28 12:53:59, Camera 1, Tomato, 1672, 775, 74.05460409907715
2022-11-28 12:54:00, Camera 1, Tomato, 1465, 769, 82.23483398157467
2022-11-28 12:54:01, Camera 1, Tomato, 1444, 774, 77.19573393471325
2022-11-28 12:54:02, Camera 1, Tomato, 1814, 770, 37.30394827798343
2022-11-28 12:54:02, Camera 1, Tomato, 373, 776, 97.76516601842535
2022-11-28 12:54:03, Camera 1, Tomato, 1837, 813, 80.81945804237385
2022-11-28 12:54:03, Camera 1, Tomato, 1618, 1016, 83.92416709568306
2022-11-28 12:54:07, Camera 1, Tomato, 1452, 760, 87.39743779750019
2022-11-28 12:54:14, Camera 1, Tomato, 1432, 758, 87.39743779750019
2022-11-28 12:54:16, Camera 1, Tomato, 1463, 762, 80.53767779197439
2022-11-28 12:54:16, Camera 1, Tomato, 1801, 759, 77.19573393471325
2022-11-28 12:54:16, Camera 1, Tomato, 1886, 756, 76.50426671920418
2022-11-28 12:54:16, Camera 1, Tomato, 1653, 758, 79.2157021324374
2022-11-28 12:54:22, Camera 1, Tomato, 1620, 773, 86.98721249581666
2022-11-28 12:54:23, Camera 1, Tomato, 406, 774, 98.53076560994813
2022-11-28 12:54:23, Camera 1, Tomato, 1419, 775, 87.39743779750019
2022-11-28 12:54:26, Camera 1, Tomato, 1388, 774, 82.8749836510982
2022-11-28 12:54:28, Camera 1, Tomato, 1864, 765, 96.00900595749452
2022-11-28 12:54:30, Camera 1, Tomato, 1618, 762, 87.13759477388825
2022-11-28 12:54:31, Camera 1, Tomato, 1858, 898, 97.23934099833475
2022-11-28 12:54:33, Camera 1, Tomato, 1865, 966, 95.43146683232753
2022-11-28 12:54:34, Camera 1, Tomato, 1904, 771, 83.6598082540901
2022-11-28 12:54:34, Camera 1, Tomato, 1533, 762, 81.46923439005187
2022-11-28 12:54:35, Camera 1, Tomato, 1422, 757, 87.39743779750019
2022-11-28 12:54:36, Camera 1, Tomato, 1445, 764, 87.39743779750019
2022-11-28 12:54:39, Camera 1, Tomato, 1424, 759, 87.70938995736148
2022-11-28 12:54:39, Camera 1, Tomato, 1428, 780, 138.1603616260457
2022-11-28 12:54:41, Camera 1, Tomato, 1431, 1049, 81.69975477695945
2022-11-28 12:54:43, Camera 1, Tomato, 1433, 766, 85.23635830927383
2022-11-28 12:54:44, Camera 1, Tomato, 1457, 770, 78.69006752597979
2022-11-28 12:54:49, Camera 1, Tomato, 1529, 813, 52.6789638073687
2022-11-28 12:54:50, Camera 1, Tomato, 1851, 695, -94.22896343989
2022-11-28 12:54:50, Camera 1, Tomato, 1643, 765, 75.40342447450583
2022-11-28 12:54:50, Camera 1, Tomato, 1706, 774, 78.69006752597979
2022-11-28 12:54:51, Camera 1, Tomato, 1862, 759, 81.86989764584403
2022-11-28 12:54:57, Camera 1, Tomato, 1694, 763, 82.23483398157467
2022-11-28 12:54:57, Camera 1, Tomato, 1752, 758, 80.13419305691563
2022-11-28 12:54:59, Camera 1, Tomato, 1861, 1046, 96.25808263113454
2022-11-28 12:55:07, Camera 1, Tomato, 1675, 800, 115.01689347810004
2022-11-28 12:55:07, Camera 1, Tomato, 1709, 759, 80.53767779197439
2022-11-28 12:55:09, Camera 1, Tomato, 1453, 774, 79.69515353123397
2022-11-28 12:55:10, Camera 1, Tomato, 1426, 756, 90.0
2022-11-28 12:55:12, Camera 1, Tomato, 1492, 761, 83.99099404250548
2022-11-28 12:55:13, Camera 1, Tomato, 419, 763, 98.53076560994813
2022-11-28 12:55:16, Camera 1, Tomato, 1754, 772, 76.6075022462489
2022-11-28 12:55:20, Camera 1, Tomato, 1509, 772, 87.27368900609373
2022-11-28 12:55:25, Camera 1, Tomato, 1543, 763, 84.28940686250037
2022-11-28 12:55:27, Camera 1, Tomato, 1505, 775, 80.13419305691563
2022-11-28 12:55:27, Camera 1, Tomato, 1747, 764, 79.69515353123397
2022-11-28 12:55:28, Camera 1, Tomato, 1828, 758, 85.42607874009914
2022-11-28 12:55:31, Camera 1, Tomato, 1764, 761, 82.5685920288275
2022-11-28 12:55:34, Camera 1, Tomato, 1523, 1056, 128.70318128101562
2022-11-28 12:55:35, Camera 1, Tomato, 106, 774, 98.24632081446853
2022-11-28 12:55:41, Camera 1, Tomato, 1651, 760, 92.6025622024998
2022-11-28 12:55:42, Camera 1, Tomato, 1752, 758, 84.8055710922652
2022-11-28 12:55:42, Camera 1, Tomato, 1596, 758, 90.0
2022-11-28 12:55:48, Camera 1, Tomato, 1574, 758, 86.82016988013577
2022-11-28 12:55:50, Camera 1, Tomato, 1757, 766, 80.53767779197439
2022-11-28 12:55:51, Camera 1, Tomato, 1639, 770, 78.11134196037202
2022-11-28 12:55:53, Camera 1, Tomato, 1834, 762, 76.6075022462489
2022-11-28 12:55:55, Camera 1, Tomato, 1710, 764, 80.13419305691563
2022-11-28 12:55:55, Camera 1, Tomato, 1872, 781, 81.70285503016314
2022-11-28 12:55:56, Camera 1, Tomato, 1693, 776, 79.2157021324374
2022-11-28 12:55:57, Camera 1, Tomato, 734, 771, 87.61405596961119
2022-11-28 12:55:57, Camera 1, Tomato, 1718, 779, 87.7974018382342
2022-11-28 12:56:01, Camera 1, Tomato, 1545, 770, 83.99099404250548
2022-11-28 12:56:05, Camera 1, Tomato, 1404, 761, 81.86989764584403
2022-11-28 12:56:05, Camera 1, Tomato, 1467, 1057, 102.42594286542749
2022-11-28 12:56:05, Camera 1, Tomato, 1573, 764, 87.51044707800085
2022-11-28 12:56:06, Camera 1, Tomato, 1585, 762, 93.57633437499736
2022-11-28 12:56:07, Camera 1, Tomato, 1722, 762, 65.55604521958347
2022-11-28 12:56:10, Camera 1, Tomato, 1640, 759, 79.69515353123397
2022-11-28 12:56:10, Camera 1, Tomato, 794, 756, 92.2025981617658
